 Num Of Points,  x obs meter,y obs meter, z obs meter, obs type
473,-714,-952,-100,130
473,-714,-922,-100,130
473,-714,-694,-100,3631
473,-714,-682,-100,3631
473,-714,-488,-100,122
473,-714,-456,-100,122
473,-714,-434,-100,159
473,-712,-434,-100,159
473,-710,-616,-100,791
473,-710,-586,-100,791
473,-708,-1046,-100,128
473,-706,-996,-100,164
473,-706,-976,-100,164
473,-706,-668,-100,3631
473,-700,-414,-100,159
473,-694,-696,-100,3631
473,-692,-400,-100,159
473,-692,-396,-100,159
473,-690,-668,-100,3631
473,-688,-1048,-100,128
473,-688,-996,-100,164
473,-688,-976,-100,164
473,-688,-696,-100,3631
473,-688,-694,-100,3631
473,-684,-1078,-100,128
473,-684,-1050,-100,128
473,-684,-616,-100,791
473,-680,-612,-100,791
473,-680,-586,-100,791
473,-650,-562,-100,129
473,-650,-532,-100,129
473,-648,-606,-100,792
473,-648,-580,-100,792
473,-646,-972,-100,117
473,-646,-940,-100,117
473,-646,-610,-100,792
473,-642,-656,-100,773
473,-642,-626,-100,773
473,-630,-466,-100,769
473,-630,-442,-100,769
473,-622,-532,-100,129
473,-620,-562,-100,129
473,-620,-536,-100,129
473,-618,-610,-100,792
473,-618,-580,-100,792
473,-616,-972,-100,117
473,-616,-940,-100,117
473,-612,-656,-100,773
473,-612,-626,-100,773
473,-608,-562,-100,127
473,-608,-532,-100,127
473,-608,-488,-100,769
473,-590,-532,-100,127
473,-588,-976,-100,70
473,-588,-946,-100,70
473,-584,-488,-100,769
473,-584,-442,-100,769
473,-582,-534,-100,127
473,-578,-656,-100,774
473,-578,-626,-100,774
473,-578,-562,-100,127
473,-578,-536,-100,127
473,-556,-976,-100,70
473,-556,-946,-100,70
473,-554,-450,-100,771
473,-554,-420,-100,771
473,-546,-656,-100,774
473,-546,-626,-100,774
473,-542,-562,-100,775
473,-542,-532,-100,775
473,-534,-620,-100,776
473,-528,-608,-100,776
473,-524,-532,-100,775
473,-524,-450,-100,771
473,-524,-420,-100,771
473,-520,-596,-100,776
473,-514,-534,-100,775
473,-512,-562,-100,775
473,-512,-536,-100,775
473,-508,-620,-100,776
473,-480,-1060,-100,101
473,-480,-1040,-100,101
473,-478,-1064,-100,101
473,-476,-1034,-100,101
473,-474,-1070,-100,101
473,-474,-978,-100,103
473,-474,-948,-100,103
473,-472,-1072,-100,101
473,-468,-1026,-100,101
473,-468,-668,-100,91
473,-468,-606,-100,91
473,-466,-466,-100,90
473,-466,-442,-100,90
473,-464,-1024,-100,101
473,-460,-1078,-100,101
473,-458,-1022,-100,101
473,-448,-1022,-100,101
473,-444,-1078,-100,101
473,-444,-978,-100,103
473,-444,-948,-100,103
473,-444,-488,-100,90
473,-440,-1076,-100,101
473,-440,-1024,-100,101
473,-434,-1072,-100,101
473,-434,-1028,-100,101
473,-432,-1070,-100,101
473,-432,-1030,-100,101
473,-428,-1064,-100,101
473,-428,-1036,-100,101
473,-426,-1060,-100,101
473,-426,-1040,-100,101
473,-424,-1054,-100,101
473,-424,-1048,-100,101
473,-420,-488,-100,90
473,-420,-442,-100,90
473,-408,-668,-100,91
473,-408,-606,-100,91
473,-398,-1140,-100,112
473,-398,-1128,-100,112
473,-396,-1122,-100,112
473,-394,-1148,-100,112
473,-394,-854,-100,113
473,-394,-746,-100,113
473,-392,-1116,-100,112
473,-390,-562,-100,95
473,-390,-530,-100,95
473,-390,-450,-100,134
473,-390,-420,-100,134
473,-386,-1156,-100,112
473,-384,-1110,-100,112
473,-382,-1158,-100,112
473,-378,-1108,-100,112
473,-368,-1108,-100,112
473,-364,-1158,-100,112
473,-362,-1110,-100,112
473,-360,-562,-100,95
473,-360,-530,-100,95
473,-360,-450,-100,134
473,-360,-420,-100,134
473,-358,-1112,-100,112
473,-356,-1154,-100,112
473,-354,-1152,-100,112
473,-352,-1118,-100,112
473,-350,-1146,-100,112
473,-348,-1142,-100,112
473,-348,-1126,-100,112
473,-348,-718,-100,113
473,-346,-826,-100,113
473,-346,-718,-100,113
473,-308,-776,-100,120
473,-304,-888,-100,174
473,-304,-828,-100,174
473,-304,-768,-100,120
473,-294,-750,-100,120
473,-282,-730,-100,120
473,-280,-730,-100,120
473,-258,-768,-100,120
473,-254,-776,-100,120
473,-250,-584,-100,115
473,-250,-554,-100,115
473,-244,-888,-100,174
473,-244,-828,-100,174
473,-232,-888,-100,96
473,-232,-828,-100,96
473,-220,-584,-100,115
473,-220,-554,-100,115
473,-210,-1132,-100,144
473,-210,-1124,-100,144
473,-202,-1132,-100,144
473,-202,-1124,-100,144
473,-172,-888,-100,96
473,-172,-828,-100,96
473,-144,-890,-100,756
473,-144,-858,-100,756
473,-144,-856,-100,77
473,-144,-824,-100,77
473,-118,-1060,-100,56
473,-118,-1052,-100,56
473,-112,-890,-100,756
473,-112,-858,-100,756
473,-112,-856,-100,77
473,-112,-824,-100,77
473,-110,-1060,-100,56
473,-110,-1052,-100,56
473,-110,-890,-100,757
473,-110,-860,-100,757
473,-110,-856,-100,114
473,-110,-826,-100,114
473,-106,-964,-100,97
473,-106,-938,-100,97
473,-80,-964,-100,97
473,-80,-938,-100,97
473,-78,-1138,-100,49
473,-78,-1136,-100,49
473,-78,-890,-100,757
473,-78,-860,-100,757
473,-78,-856,-100,114
473,-78,-826,-100,114
473,-76,-1142,-100,49
473,-76,-1132,-100,49
473,-76,-1004,-100,145
473,-76,-996,-100,145
473,-74,-1144,-100,49
473,-74,-1130,-100,49
473,-68,-1144,-100,49
473,-68,-1130,-100,49
473,-68,-1004,-100,145
473,-68,-996,-100,145
473,-64,-1140,-100,49
473,-64,-1134,-100,49
473,-60,-780,-100,135
473,-60,-744,-100,135
473,-46,-1154,-100,58
473,-46,-1108,-100,58
473,-36,-1108,-100,58
473,-24,-780,-100,135
473,-24,-742,-100,135
473,-6,-1110,-100,58
473,-4,-970,-100,13
473,-4,-962,-100,13
473,-2,-1154,-100,58
473,-2,-1114,-100,58
473,0,-1144,-100,58
473,0,-1118,-100,58
473,4,-970,-100,13
473,4,-962,-100,13
473,48,-588,-100,133
473,48,-528,-100,133
473,52,-656,-100,32
473,52,-594,-100,32
473,64,-806,-100,10
473,64,-804,-100,10
473,66,-806,-100,10
473,66,-804,-100,10
473,68,-882,-100,146
473,68,-852,-100,146
473,100,-882,-100,146
473,100,-852,-100,146
473,108,-588,-100,133
473,108,-528,-100,133
473,114,-656,-100,32
473,114,-594,-100,32
